created_at,field1,field2,field3,field4,field5,field6,field7,field8
2025-10-16T10:00:00,citrus fruit,semi-finished bread,margarine,ready soups,,,,
2025-10-16T10:01:00,tropical fruit,yogurt,coffee,,,,,
2025-10-16T10:02:00,whole milk,,,,,,,
2025-10-16T10:03:00,pip fruit,yogurt,cream cheese,meat spreads,,,,
2025-10-16T10:04:00,other vegetables,whole milk,condensed milk,long life bakery product,,,,
2025-10-16T10:05:00,whole milk,butter,yogurt,rice,abrasive cleaner,,,
2025-10-16T10:06:00,rolls/buns,,,,,,,
2025-10-16T10:07:00,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,
2025-10-16T10:08:00,potted plants,,,,,,,
2025-10-16T10:09:00,whole milk,cereals,,,,,,
2025-10-16T10:10:00,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,
2025-10-16T10:11:00,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water
2025-10-16T10:12:00,beef,,,,,,,
2025-10-16T10:13:00,frankfurter,rolls/buns,soda,,,,,
2025-10-16T10:14:00,chicken,tropical fruit,,,,,,
2025-10-16T10:15:00,butter,sugar,fruit/vegetable juice,newspapers,,,,
2025-10-16T10:16:00,fruit/vegetable juice,,,,,,,
2025-10-16T10:17:00,packaged fruit/vegetables,,,,,,,
2025-10-16T10:18:00,chocolate,,,,,,,
2025-10-16T10:19:00,specialty bar,,,,,,,
2025-10-16T10:20:00,other vegetables,,,,,,,
2025-10-16T10:21:00,butter milk,pastry,,,,,,
2025-10-16T10:22:00,whole milk,,,,,,,
2025-10-16T10:23:00,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,
2025-10-16T10:24:00,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack
2025-10-16T10:25:00,bottled water,canned beer,,,,,,
2025-10-16T10:26:00,yogurt,,,,,,,
2025-10-16T10:27:00,sausage,rolls/buns,soda,chocolate,,,,
2025-10-16T10:28:00,other vegetables,,,,,,,
2025-10-16T10:29:00,brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,
2025-10-16T10:30:00,yogurt,beverages,bottled water,specialty bar,,,,
2025-10-16T10:31:00,hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins,
